task_number,session_block,slot_id,stratum,control_role,original_side,mirror_of_slot
1,1,low_02,low_competition,intervention,B,
2,1,high_01,high_competition,intervention,A,
3,1,low_01,low_competition,intervention,A,
4,1,high_04,high_competition,intervention,A,
5,1,high_02,high_competition,intervention,B,
6,1,low_04,low_competition,intervention,B,
7,1,high_03,high_competition,intervention,B,
8,1,low_03,low_competition,intervention,A,
9,1,identical_control,diagnostic,identical,identical,
10,2,low_06,low_competition,intervention,A,
11,2,mirror_control,diagnostic,mirrored,B,high_01
12,2,low_05,low_competition,intervention,B,
13,2,low_07,low_competition,intervention,B,
14,2,high_05,high_competition,intervention,B,
15,2,high_07,high_competition,intervention,A,
16,2,low_08,low_competition,intervention,A,
17,2,high_06,high_competition,intervention,B,
18,2,high_08,high_competition,intervention,A,
