task_number,pair_id,doc_id,original_side,outcome,revision_minus_original__argument_anchored_clause_ratio,revision_minus_original__cjk_chars_per_sentence,revision_minus_original__clause_heads_per_sentence,revision_minus_original__content_tokens_per_clause_head,revision_minus_original__content_tokens_per_sentence,revision_minus_original__coordination_relations_per_sentence,revision_minus_original__distinct_content_lemmas_per_sentence,revision_minus_original__function_to_content_ratio,revision_minus_original__long_dependency_arc_ratio,revision_minus_original__long_nominal_modifier_ratio,revision_minus_original__max_clause_heads_in_sentence,revision_minus_original__max_dependency_distance,revision_minus_original__max_nominal_modifier_chain,revision_minus_original__mean_dependency_distance,revision_minus_original__mean_nominal_modifier_span,revision_minus_original__mean_tree_depth,revision_minus_original__subordinate_relations_per_sentence
1,refinement-v4-10,4c4d1156bf248a78ba057cb3,B,original_preferred,0.061111111111111116,-8.666666666666664,-0.666666666666667,-0.10000000000000009,-2.666666666666668,0.0,-3.0,-0.06690561529271205,-0.031682172491828,-0.04807692307692307,-1.0,-8.0,0.0,0.11893386975106868,-0.2596153846153846,-0.5790851812453974,-0.6666666666666665
2,refinement-v4-05,7c1423cab64a9a1b24d75243,A,revised_preferred,0.23981900452488691,-12.5,-1.65,0.15837104072398178,-5.800000000000001,-0.30000000000000004,-5.25,-0.018075980392156854,-0.004360221365084682,0.0,-2.0,-5.0,0.0,-0.34026496729833955,-0.06349206349206349,-0.4275793650793651,-1.15
3,refinement-v4-03,da81d4c0f5b616b43f9e1472,B,original_preferred,0.04111405835543758,-4.199999999999996,-0.5999999999999996,0.06896551724137945,-1.4000000000000004,0.19999999999999996,-1.5999999999999996,-0.08476621417797892,-0.008656957928802583,-0.026915113871635615,0.0,0.0,-1.0,-0.046601941747572706,0.020703933747411973,-0.16650143749380408,-0.3999999999999999
4,refinement-v4-02,e6b904412ae6774c9ee56964,A,revised_preferred,0.1274074074074074,-3.25,-0.5,0.18666666666666654,-0.5,0.0,-0.25,-0.08308080808080809,-0.05150531286894924,0.034482758620689655,-1.0,-3.0,0.0,-0.4851682408500593,0.13793103448275867,-0.13144278606965143,-0.25
5,refinement-v4-07,fdbd90f96ec1d4752373dcf1,A,revised_preferred,0.1875,8.583333333333336,0.833333333333333,0.21527777777777768,3.833333333333332,0.25,3.333333333333332,-0.06081504702194357,-0.0357142857142857,-0.06410256410256412,2.0,4.0,0.0,-0.07967032967032983,-0.9871794871794872,-0.06460863697705799,-0.6666666666666665
6,refinement-v4-04,21129f35e0f1ae2b265bb287,A,revised_preferred,0.117056856187291,-5.333333333333336,-1.416666666666667,1.0100334448160533,0.25,-0.5,0.16666666666666607,-0.2803628914252268,0.020897832817337453,0.03246753246753245,-3.0,2.0,1.0,0.1700574966828836,0.18181818181818188,-0.44652491272611883,-1.3333333333333335
7,refinement-v4-09,a174fe26e705b96c18acb00e,B,tie_or_neither,-0.050000000000000044,-8.0,-1.5,0.6333333333333337,-3.0,1.0,-3.0,-0.03605313092979129,-0.024218499946655286,-0.023809523809523808,-1.0,-1.0,0.0,0.8180945268323905,-0.30952380952380953,-0.5367063492063493,-1.0
8,refinement-v4-06,398d56824414e91464ffc3d8,A,revised_preferred,0.01666666666666672,7.416666666666668,1.5,-0.4083333333333332,3.666666666666666,0.8333333333333333,3.166666666666666,-0.12716981132075472,-0.033659730722154224,-0.16666666666666666,1.0,12.0,0.0,-0.23102815177478586,-0.5666666666666669,0.027375201288244888,0.4166666666666665
9,refinement-v4-08,ee642b95d3e1e32aea9e8ccf,B,original_preferred,0.012173913043478257,5.285714285714285,1.028571428571428,-0.17391304347826075,2.2857142857142865,0.3142857142857143,2.314285714285713,-0.06051282051282053,-0.023691460055096425,-0.07161125319693094,-1.0,1.0,0.0,0.010389610389610393,-0.40664961636828667,0.03409343715239155,1.0
10,refinement-v4-01,ddb4214a54ff80efa0f5b210,B,original_preferred,0.1070075757575758,-14.333333333333329,0.3333333333333339,-0.29640151515151514,-2.3333333333333357,0.0,1.0,-0.2415730337078652,-0.0484076433121019,0.08547008547008547,-11.0,-39.0,-1.0,-0.9908280254777067,0.8974358974358974,-0.2543151494679954,0.33333333333333304
