task_number,pair_id,doc_id,variant,side,outcome,preferred_variant,argument_anchored_clause_ratio,cjk_char_count,cjk_chars_per_sentence,clause_head_count,clause_heads_per_sentence,content_token_count,content_tokens_per_clause_head,content_tokens_per_sentence,coordination_relations_per_sentence,distinct_content_lemmas_per_sentence,function_to_content_ratio,long_dependency_arc_ratio,long_nominal_modifier_ratio,max_clause_heads_in_sentence,max_dependency_distance,max_nominal_modifier_chain,mean_dependency_distance,mean_nominal_modifier_span,mean_tree_depth,sentence_count,subordinate_relations_per_sentence,token_count
1,refinement-v4-10,4c4d1156bf248a78ba057cb3,original,B,original_preferred,original,0.55,155,51.666666666666664,20,6.666666666666667,62,3.1,20.666666666666668,0.3333333333333333,19.666666666666668,0.5483870967741935,0.2268041237113402,0.125,8,39,2,3.783505154639175,1.875,2.925619834710744,3,3.6666666666666665,100
1,refinement-v4-10,4c4d1156bf248a78ba057cb3,revised,A,original_preferred,original,0.6111111111111112,129,43.0,18,6.0,54,3.0,18.0,0.3333333333333333,16.666666666666668,0.48148148148148145,0.1951219512195122,0.07692307692307693,7,31,2,3.902439024390244,1.6153846153846154,2.3465346534653464,3,3.0,85
2,refinement-v4-05,7c1423cab64a9a1b24d75243,original,A,revised_preferred,revised,0.5294117647058824,142,35.5,17,4.25,64,3.764705882352941,16.0,1.5,15.25,0.390625,0.16853932584269662,0.0,7,26,2,3.191011235955056,1.7777777777777777,2.705357142857143,4,2.75,93
2,refinement-v4-05,7c1423cab64a9a1b24d75243,revised,B,revised_preferred,revised,0.7692307692307693,115,23.0,13,2.6,51,3.923076923076923,10.2,1.2,10.0,0.37254901960784315,0.16417910447761194,0.0,5,21,2,2.8507462686567164,1.7142857142857142,2.2777777777777777,5,1.6,72
3,refinement-v4-03,da81d4c0f5b616b43f9e1472,original,B,original_preferred,original,0.6896551724137931,202,40.4,29,5.8,85,2.9310344827586206,17.0,1.2,17.0,0.3411764705882353,0.24166666666666667,0.21739130434782608,8,24,2,3.6,2.217391304347826,2.616883116883117,5,3.8,125
3,refinement-v4-03,da81d4c0f5b616b43f9e1472,revised,A,original_preferred,original,0.7307692307692307,181,36.2,26,5.2,78,3.0,15.6,1.4,15.4,0.2564102564102564,0.23300970873786409,0.19047619047619047,8,24,1,3.5533980582524274,2.238095238095238,2.450381679389313,5,3.4,108
4,refinement-v4-02,e6b904412ae6774c9ee56964,original,A,revised_preferred,revised,0.5925925925925926,204,51.0,27,6.75,90,3.3333333333333335,22.5,0.75,21.0,0.34444444444444444,0.24793388429752067,0.06896551724137931,11,39,2,3.8512396694214877,1.6206896551724137,3.0866666666666664,4,4.5,125
4,refinement-v4-02,e6b904412ae6774c9ee56964,revised,B,revised_preferred,revised,0.72,191,47.75,25,6.25,88,3.52,22.0,0.75,20.75,0.26136363636363635,0.19642857142857142,0.10344827586206896,10,36,2,3.3660714285714284,1.7586206896551724,2.955223880597015,4,4.25,116
5,refinement-v4-07,fdbd90f96ec1d4752373dcf1,original,A,revised_preferred,revised,0.5,143,35.75,18,4.5,58,3.2222222222222223,14.5,0.75,14.0,0.5517241379310345,0.2857142857142857,0.23076923076923078,7,21,2,3.758241758241758,3.1538461538461537,2.2280701754385963,4,4.0,95
5,refinement-v4-07,fdbd90f96ec1d4752373dcf1,revised,B,revised_preferred,revised,0.6875,133,44.333333333333336,16,5.333333333333333,55,3.4375,18.333333333333332,1.0,17.333333333333332,0.4909090909090909,0.25,0.16666666666666666,9,25,2,3.6785714285714284,2.1666666666666665,2.1634615384615383,3,3.3333333333333335,87
