feature,family,hedges_g,cliffs_delta,loo_stability,translation_removed_g,source_to_time_abs_g_ratio,permutation_p_value,q_value,ranking_score
surface_punctuation_density,punctuation,2.0835766792372516,0.84,1.0,2.0028745972015227,0.1481005917977906,0.00019998999778181314,0.02999849966727197,1.8148032447005495
surface_punctuation_entropy_bits,punctuation,1.6962819825083293,0.78,1.0,1.8070256384663916,0.6207027325770059,0.0017999099800363183,0.08999549900181592,1.046633628988302
syntax_lexical_mattr,token_and_lexical,1.1266712063708637,0.64,1.0,1.1514671830711243,0.11481941423877337,0.017749112099409103,0.3534198389388621,1.010631131805489
surface_dash_density,punctuation,1.5764157711442348,0.78,1.0,1.787490396536478,0.6602294019330225,0.0005999699933454394,0.04499774950090796,0.9495168374375236
surface_period_density,punctuation,0.8874277664909823,0.34,1.0,0.7755166522714237,0.03031871748081005,0.05214739218354225,0.5216926569119096,0.8613138356457267
deprel_punct_ratio,dependency_relation,1.2171744193782668,0.64,1.0,1.1697757755658902,0.47581805678725086,0.012449377216398716,0.3534198389388621,0.8247455801075964
upos_punct_ratio,universal_pos,1.1902320171378065,0.62,1.0,1.1414721705799915,0.4879228814134121,0.014499275013804436,0.3534198389388621,0.7999285661950286
surface_long_paragraph_ratio,document_structure,-0.8011908388586486,-0.34,1.0,-0.8000099331765896,0.0925601254426037,0.085495725274086,0.5216926569119096,0.7333151011108708
surface_non_whitespace_char_count,character_composition,0.7856808307355332,0.32,1.0,0.6384529859456844,0.08540919961800528,0.0740462988615036,0.5216926569119096,0.7238568007457857
surface_char_count,character_composition,0.7794918057712085,0.32,1.0,0.6314865914055039,0.11135918021161417,0.0761461928486824,0.5216926569119096,0.7013860322121829
syntax_adjacent_content_jaccard_mean,dependency_syntax,-0.9828528575714105,-0.54,1.0,-0.8858460436387653,0.41292261731740154,0.03634818270802498,0.5216926569119096,0.6956169046521962
surface_colon_density,punctuation,1.12759128434917,0.64,1.0,1.0111291468086157,0.649316231424265,0.01884905807673931,0.3534198389388621,0.6836719744008339
upos_part_ratio,universal_pos,-0.883040847180593,-0.54,1.0,-0.7693092899190801,0.32092534175743037,0.052797358483076096,0.5216926569119096,0.6685017080569806
deprel_obl_ratio,dependency_relation,-0.8728103958590638,-0.46,1.0,-0.918183757600467,0.3098937911248513,0.057447127997875214,0.5216926569119096,0.6663215000886074
syntax_lexical_token_entropy_bits,token_and_lexical,0.7639411631595773,0.42,1.0,0.6530704330027388,0.14707507367228537,0.08959551900625229,0.5216926569119096,0.6659905534464016
deprel_acl_ratio,dependency_relation,-0.855074673367321,-0.46,1.0,-0.7351379512188918,0.3039616885303683,0.06089695543050766,0.5216926569119096,0.6557513774281466
surface_cjk_char_entropy_bits,character_composition,0.8173166737557019,0.46,1.0,0.7164243205492737,0.2784832326470905,0.07049647718667984,0.5216926569119096,0.6392861892005056
surface_paragraph_count,document_structure,0.8832096992450026,0.37,1.0,0.7494424777407505,0.3887243256376509,0.060796961188316345,0.5216926569119096,0.6359863386417354
syntax_token_count,dependency_syntax,0.7492893222981982,0.3,1.0,0.604515520340284,0.1892777386614731,0.09054546803236008,0.5216926569119096,0.630037288969623
surface_cjk_char_count,character_composition,0.7108062892106554,0.34,1.0,0.581590648950096,0.13858830907551378,0.10559471696615219,0.5216926569119096,0.624287359658383
syntax_lexical_token_count,token_and_lexical,0.7290162530927792,0.3,1.0,0.5800416121273488,0.17037393606682738,0.10614468902349472,0.5216926569119096,0.6228917362451867
surface_parenthesis_density,punctuation,0.6305680206964349,0.46,1.0,0.7543817762930164,0.01820197984271816,0.15704214572906494,0.6199032068252563,0.6192956144063272
title_cjk_char_count,title_form,1.2746218475489077,0.7,1.0,1.2301333129630057,1.0666945917399526,0.008099595084786415,0.30373481567949057,0.6167441733496782
syntax_second_person_pronoun_ratio,token_and_lexical,0.6095813348308645,0.06,1.0,0.43010574065656276,0.01819649923653097,0.24518774449825287,0.8442191407084465,0.5986873214433007
discourse_contrast_markers_per_10k_cjk,discourse_and_stance,-0.6400124724576567,-0.28,1.0,-0.6507202170981631,0.0971531110252595,0.1542922854423523,0.6199032068252563,0.5833392495780125
syntax_max_tree_depth,dependency_syntax,0.7545496423488283,0.57,1.0,0.7757141414860729,0.2975728790071617,0.10869456082582474,0.5216926569119096,0.5815084875434297
discourse_summary_markers_per_10k_cjk,discourse_and_stance,0.5804882557239354,0.2,1.0,0.4641553747140538,0.0,0.47287634015083313,0.8978664686408224,0.5804882557239354
surface_quote_mark_density,punctuation,0.8810138204844468,0.56,1.0,0.8121838282179168,0.6342130141289677,0.054047297686338425,0.5216926569119096,0.5391058649438215
surface_cjk_char_mattr,character_composition,0.73692769232865,0.52,1.0,0.7500113953352703,0.36702619668235226,0.10354482382535934,0.5216926569119096,0.53907357014599
syntax_clause_relations_per_sentence,dependency_syntax,-0.8050788487810576,-0.38,1.0,-0.7453246469000819,0.5161102959422942,0.07434628158807755,0.5216926569119096,0.5310160157448732
syntax_sentence_count,dependency_syntax,0.72733466500709,0.35,1.0,0.5721802012524709,0.41288081917337066,0.10379480570554733,0.5216926569119096,0.5147884061676407
syntax_adjacent_noun_jaccard_mean,dependency_syntax,-0.7479280358739865,-0.44,1.0,-0.6646985979938044,0.4608203232460457,0.09954502433538437,0.5216926569119096,0.5119918062284605
upos_propn_ratio,universal_pos,-0.7629983668700071,-0.4,1.0,-0.7246377822368221,0.5428613647623298,0.0941452905535698,0.5216926569119096,0.494534625272403
surface_sentence_count,document_structure,0.7165843188892271,0.32,1.0,0.5571007768222057,0.49396223373411025,0.11129443347454071,0.5216926569119096,0.4796535700224147
