feature,spearman_rho,absolute_rho,exact_p_value,bh_q_value,loo_direction_stability
syntax_mean_root_relative_position,-0.8643325211229224,0.8643325211229224,0.0031746031746031746,0.44126984126984126,1.0
deprel_advmod_ratio,0.7839294959021854,0.7839294959021854,0.012698412698412698,0.8609088079676315,1.0
upos_adv_ratio,0.7236272269866326,0.7236272269866326,0.025396825396825397,0.8609088079676315,1.0
syntax_pos_bigram_entropy_bits,0.7035264706814484,0.7035264706814484,0.03015873015873016,0.8609088079676315,1.0
deprel_clf_ratio,0.6231234454607114,0.6231234454607114,0.06190476190476191,0.8609088079676315,1.0
syntax_left_dependency_ratio,-0.6231234454607114,0.6231234454607114,0.06190476190476191,0.8609088079676315,1.0
upos_part_ratio,-0.6231234454607114,0.6231234454607114,0.06190476190476191,0.8609088079676315,1.0
upos_noun_ratio,-0.6030226891555271,0.6030226891555271,0.0761904761904762,0.8609088079676315,1.0
hypothesis_complete_contrast_frames_per_1k_sentences,0.6001068280966357,0.6001068280966357,0.1,0.8609088079676315,1.0
upos_pron_ratio,0.582921932850343,0.582921932850343,0.08412698412698413,0.8609088079676315,1.0
discourse_causal_markers_per_10k_cjk,-0.5789407688124093,0.5789407688124093,0.08095238095238096,0.8609088079676315,1.0
surface_sentence_count,-0.5763753889237944,0.5763753889237944,0.09126984126984126,0.8609088079676315,1.0
surface_parenthesis_density,0.5737753105492469,0.5737753105492469,0.18888888888888888,0.8609088079676315,1.0
graph_proposition_restatement_ratio,0.5628211765451587,0.5628211765451587,0.09523809523809523,0.8609088079676315,1.0
syntax_sentence_count,-0.5544535140000394,0.5544535140000394,0.09841269841269841,0.8609088079676315,1.0
deprel_cop_ratio,0.5427204202399745,0.5427204202399745,0.11587301587301588,0.8609088079676315,1.0
upos_num_ratio,0.5427204202399745,0.5427204202399745,0.11587301587301588,0.8609088079676315,1.0
graph_abstract_shell_count_per_100_cjk,0.502518907629606,0.502518907629606,0.14603174603174604,0.8609088079676315,1.0
hypothesis_abstract_shells_per_1k_cjk,0.502518907629606,0.502518907629606,0.14603174603174604,0.8609088079676315,1.0
syntax_dependency_distance_mean,0.502518907629606,0.502518907629606,0.14603174603174604,0.8609088079676315,1.0
syntax_mean_tree_depth,0.502518907629606,0.502518907629606,0.14603174603174604,0.8609088079676315,1.0
syntax_median_sentence_tokens,0.502518907629606,0.502518907629606,0.14603174603174604,0.8609088079676315,1.0
syntax_subordinate_relation_ratio,0.502518907629606,0.502518907629606,0.14603174603174604,0.8609088079676315,1.0
discourse_marker_type_coverage,-0.4848825745591515,0.4848825745591515,0.17777777777777778,0.8609088079676315,1.0
