feature,spearman_rho,absolute_rho,exact_p_value,bh_q_value,loo_direction_stability
syntax_mean_root_relative_position,-0.8451542547285166,0.8451542547285166,0.03571428571428571,0.9511278195488722,1.0
upos_part_ratio,-0.8451542547285166,0.8451542547285166,0.03571428571428571,0.9511278195488722,1.0
hypothesis_complete_contrast_frames_per_1k_sentences,0.7803902927439634,0.7803902927439634,0.03571428571428571,0.9511278195488722,1.0
discourse_marker_type_coverage,-0.7406560798180413,0.7406560798180413,0.08928571428571429,0.9511278195488722,1.0
deprel_advmod_ratio,0.7324670207647144,0.7324670207647144,0.07142857142857142,0.9511278195488722,1.0
deprel_obl_ratio,0.7324670207647144,0.7324670207647144,0.07142857142857142,0.9511278195488722,1.0
discourse_all_markers_per_10k_cjk,-0.720360270225197,0.720360270225197,0.10714285714285714,0.9511278195488722,1.0
surface_compression_ratio,0.6197797868009122,0.6197797868009122,0.14285714285714285,0.9511278195488722,1.0
syntax_mean_nonleaf_branching,0.6197797868009122,0.6197797868009122,0.14285714285714285,0.9511278195488722,1.0
syntax_pos_bigram_entropy_bits,0.6197797868009122,0.6197797868009122,0.14285714285714285,0.9511278195488722,1.0
upos_adv_ratio,0.6197797868009122,0.6197797868009122,0.14285714285714285,0.9511278195488722,1.0
discourse_causal_markers_per_10k_cjk,-0.5809475019311126,0.5809475019311126,0.2857142857142857,0.9511278195488722,1.0
discourse_enumeration_markers_per_10k_cjk,-0.5809475019311126,0.5809475019311126,0.2857142857142857,0.9511278195488722,1.0
deprel_clf_ratio,0.50709255283711,0.50709255283711,0.25,0.9511278195488722,1.0
deprel_mark_ratio,0.50709255283711,0.50709255283711,0.25,0.9511278195488722,1.0
deprel_root_ratio,-0.50709255283711,0.50709255283711,0.25,0.9511278195488722,1.0
graph_proposition_restatement_ratio,0.50709255283711,0.50709255283711,0.25,0.9511278195488722,1.0
surface_cjk_char_mattr,0.50709255283711,0.50709255283711,0.25,0.9511278195488722,1.0
surface_cjk_char_type_token_ratio,0.50709255283711,0.50709255283711,0.25,0.9511278195488722,1.0
