task_number,doc_id,month,period,rating,friction_score,deprel_acl_ratio,deprel_advcl_ratio,deprel_advmod_ratio,deprel_amod_ratio,deprel_appos_ratio,deprel_aux_ratio,deprel_case_ratio,deprel_cc_ratio,deprel_ccomp_ratio,deprel_clf_ratio,deprel_compound_ratio,deprel_conj_ratio,deprel_cop_ratio,deprel_csubj_ratio,deprel_dep_ratio,deprel_det_ratio,deprel_discourse_ratio,deprel_dislocated_ratio,deprel_expl_ratio,deprel_fixed_ratio,deprel_flat_ratio,deprel_goeswith_ratio,deprel_iobj_ratio,deprel_list_ratio,deprel_mark_ratio,deprel_nmod_ratio,deprel_nsubj_ratio,deprel_nummod_ratio,deprel_obj_ratio,deprel_obl_ratio,deprel_orphan_ratio,deprel_parataxis_ratio,deprel_punct_ratio,deprel_reparandum_ratio,deprel_root_ratio,deprel_vocative_ratio,deprel_xcomp_ratio,discourse_all_markers_per_10k_cjk,discourse_booster_markers_per_10k_cjk,discourse_causal_markers_per_10k_cjk,discourse_contrast_markers_per_10k_cjk,discourse_directive_markers_per_10k_cjk,discourse_enumeration_markers_per_10k_cjk,discourse_framing_markers_per_10k_cjk,discourse_hedge_markers_per_10k_cjk,discourse_marker_type_coverage,discourse_metadiscourse_markers_per_10k_cjk,discourse_summary_markers_per_10k_cjk,graph_abstract_shell_count_per_100_cjk,graph_argumentless_proposition_ratio,graph_explicit_discourse_edge_count,graph_isolated_sentence_ratio,graph_largest_component_sentence_coverage,graph_mainline_detour_ratio,graph_mean_adjacent_bridge_weight,graph_mean_proposition_argument_count,graph_proposition_restatement_ratio,graph_propositions_per_100_cjk,graph_semantic_components_per_sentence,graph_surface_chars_per_unique_proposition,graph_ungrounded_abstract_shell_ratio,graph_unique_proposition_ratio,graph_unsupported_explicit_edge_ratio,graph_zero_adjacent_bridge_ratio,hypothesis_abstract_shells_per_1k_cjk,hypothesis_complete_contrast_frames_per_1k_sentences,hypothesis_emphatic_frames_per_1k_cjk,hypothesis_meta_frames_per_1k_cjk,hypothesis_referential_sentence_opening_ratio,surface_adjacent_sentence_length_change,surface_ascii_letter_ratio,surface_char_count,surface_cjk_char_count,surface_cjk_char_entropy_bits,surface_cjk_char_mattr,surface_cjk_char_type_token_ratio,surface_cjk_ratio,surface_colon_density,surface_comma_density,surface_compression_ratio,surface_dash_density,surface_digit_ratio,surface_exact_paragraph_repeat_ratio,surface_exact_sentence_repeat_ratio,surface_exclamatory_sentence_ratio,surface_list_item_ratio,surface_long_paragraph_ratio,surface_mean_paragraph_cjk_chars,surface_mean_sentence_cjk_chars,surface_mean_sentences_per_paragraph,surface_non_whitespace_char_count,surface_paragraph_count,surface_paragraph_length_cv,surface_paragraph_opening_repeat_ratio,surface_parenthesis_density,surface_period_density,surface_punctuation_density,surface_punctuation_entropy_bits,surface_question_sentence_ratio,surface_quote_mark_density,surface_repeated_char_ngram_ratio,surface_semicolon_density,surface_sentence_count,surface_sentence_length_autocorrelation,surface_sentence_length_cv,surface_sentence_opening_repeat_ratio,surface_short_paragraph_ratio,surface_url_count_per_1000_cjk,syntax_adjacent_content_jaccard_mean,syntax_adjacent_noun_jaccard_mean,syntax_clause_relations_per_sentence,syntax_content_word_ratio,syntax_coordinate_relation_ratio,syntax_crossing_arc_ratio_mean,syntax_dependency_distance_cv,syntax_dependency_distance_max,syntax_dependency_distance_mean,syntax_dependency_distance_median,syntax_dependency_relation_entropy_bits,syntax_first_person_pronoun_ratio,syntax_function_word_ratio,syntax_left_dependency_ratio,syntax_lexical_hapax_ratio,syntax_lexical_mattr,syntax_lexical_token_count,syntax_lexical_token_entropy_bits,syntax_lexical_type_token_ratio,syntax_max_nonleaf_branching,syntax_max_tree_depth,syntax_mean_lexical_token_cjk_chars,syntax_mean_nonleaf_branching,syntax_mean_root_relative_position,syntax_mean_sentence_tokens,syntax_mean_tree_depth,syntax_median_sentence_tokens,syntax_nominal_modifier_relation_ratio,syntax_passive_relation_ratio,syntax_pos_bigram_entropy_bits,syntax_pos_trigram_entropy_bits,syntax_second_person_pronoun_ratio,syntax_sentence_count,syntax_sentence_length_cv,syntax_subordinate_relation_ratio,syntax_token_count,syntax_token_length_cv,syntax_treelet_entropy_bits,upos_adj_ratio,upos_adp_ratio,upos_adv_ratio,upos_aux_ratio,upos_cconj_ratio,upos_det_ratio,upos_intj_ratio,upos_noun_ratio,upos_num_ratio,upos_part_ratio,upos_pron_ratio,upos_propn_ratio,upos_punct_ratio,upos_sconj_ratio,upos_sym_ratio,upos_verb_ratio,upos_x_ratio
1,9e271d7b118c949e83c9ff8d,2022-06,pre,很难读，不想继续,2,0.01694915254237288,0.0423728813559322,0.05084745762711865,0.022598870056497175,0.00847457627118644,0.011299435028248588,0.12146892655367232,0.002824858757062147,0.025423728813559324,0.025423728813559324,0.025423728813559324,0.005649717514124294,0.014124293785310734,0.0,0.0,0.031073446327683617,0.002824858757062147,0.0,0.0,0.0,0.002824858757062147,0.0,0.005649717514124294,0.0,0.05649717514124294,0.12146892655367232,0.08192090395480225,0.02824858757062147,0.05367231638418079,0.03672316384180791,0.0,0.03389830508474576,0.11864406779661017,0.0,0.022598870056497175,0.0,0.031073446327683617,63.1578947368421,0.0,21.052631578947366,0.0,42.10526315789473,21.052631578947366,21.052631578947366,21.052631578947366,0.07692307692307693,0.0,0.0,0.8421052631578947,0.34545454545454546,0,0.0,1.0,0.16666666666666666,0.10859403512442575,0.9818181818181818,0.2,11.578947368421053,0.125,10.326086956521738,0.0,0.8363636363636363,0.0,0.0,8.421052631578947,0.0,0.0,0.0,0.125,0.7073684210526315,0.09949409780775717,617,475,7.3385322181555335,0.4610526315789474,0.4610526315789474,0.8010118043844857,0.0,0.05396290050590219,0.6232586311326469,0.0,0.026981450252951095,0.0,0.0,0.0,0.0,0.0,158.33333333333334,59.375,2.6666666666666665,593,3,0.1123113993124138,0.0,0.003372681281618887,0.013490725126475547,0.07251264755480608,1.4812336765424918,0.0,0.0,0.023305084745762712,0.0,8,0.06602747305249515,0.6486909896090742,0.0,0.0,0.0,0.09673173702764329,0.1365019692087361,5.125,0.6057692307692307,0.00847457627118644,0.0010822510822510823,2.1442980913259584,97,4.676300578034682,2.0,4.194320058398521,0.022435897435897436,0.3269230769230769,0.6040462427745664,0.4391025641025641,0.7556807511737089,312,7.128930686460292,0.6025641025641025,8,8,1.5224358974358974,2.436619718309859,0.27562263522504105,44.25,3.0084745762711864,35.0,0.1864406779661017,0.0,5.709243609446151,7.216271663213778,0.0,8,0.6320365017049062,0.11581920903954802,354,0.40023815624881587,5.649034486580876,0.05367231638418079,0.08757062146892655,0.0480225988700565,0.025423728813559324,0.002824858757062147,0.025423728813559324,0.0,0.268361581920904,0.02824858757062147,0.06497175141242938,0.03954802259887006,0.00847457627118644,0.11864406779661017,0.0423728813559322,0.0,0.1553672316384181,0.031073446327683617
2,3c60dc0a981b686870095450,2026-06,post,有点卡，但还能读,1,0.00796812749003984,0.03187250996015936,0.055776892430278883,0.027888446215139442,0.0,0.0398406374501992,0.043824701195219126,0.01195219123505976,0.01593625498007968,0.027888446215139442,0.027888446215139442,0.04780876494023904,0.00796812749003984,0.00796812749003984,0.0,0.027888446215139442,0.00398406374501992,0.0,0.0,0.0,0.00796812749003984,0.0,0.0,0.0,0.05976095617529881,0.09561752988047809,0.07569721115537849,0.0398406374501992,0.055776892430278883,0.027888446215139442,0.0,0.0199203187250996,0.16733067729083664,0.0,0.043824701195219126,0.0,0.0199203187250996,98.68421052631578,0.0,32.89473684210526,0.0,32.89473684210526,65.78947368421052,0.0,65.78947368421052,0.05128205128205128,0.0,0.0,3.289473684210526,0.3142857142857143,3,0.0,1.0,0.0,0.11860391268583437,0.9714285714285714,0.05714285714285714,11.513157894736842,0.09090909090909091,9.212121212121213,0.0,0.9428571428571428,0.3333333333333333,0.2,42.76315789473684,0.0,3.289473684210526,3.289473684210526,0.36363636363636365,0.7055921052631579,0.162227602905569,437,304,7.179390762641403,0.5921052631578947,0.5921052631578947,0.7360774818401937,0.002421307506053269,0.05569007263922518,0.645704162976085,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43.42857142857143,27.636363636363637,1.5714285714285714,413,7,0.4912231751009236,0.0,0.0,0.026634382566585957,0.1016949152542373,2.329438155422546,0.0,0.009685230024213076,0.006644518272425249,0.007263922518159807,11,-0.30458024076614953,0.5922149021298849,0.0,0.14285714285714285,0.0,0.11351616878924106,0.12465367965367966,1.9090909090909092,0.6172248803827751,0.05976095617529881,0.0023767082590612004,1.4988859853090497,43,3.870833333333333,2.0,4.24949753992424,0.0,0.27751196172248804,0.625,0.46411483253588515,0.7216363636363636,209,6.790723767115896,0.6555023923444976,7,5,1.4545454545454546,2.5531914893617023,0.47170514094379495,22.818181818181817,2.4223107569721116,19,0.1593625498007968,0.01195219123505976,5.671620753249317,6.994572467828042,0.0,11,0.5268312348197915,0.08366533864541832,251,0.41950785702446997,5.6194956699246505,0.055776892430278883,0.027888446215139442,0.05179282868525897,0.04780876494023904,0.01195219123505976,0.027888446215139442,0.0,0.2549800796812749,0.0398406374501992,0.05179282868525897,0.01195219123505976,0.01195219123505976,0.16733067729083664,0.05179282868525897,0.0,0.1394422310756972,0.04780876494023904
3,48a7a6192771112323fd6820,2026-02,post,有点卡，但还能读,1,0.02040816326530612,0.03498542274052478,0.04081632653061224,0.01749271137026239,0.0058309037900874635,0.04081632653061224,0.06705539358600583,0.0,0.01749271137026239,0.008746355685131196,0.01749271137026239,0.023323615160349854,0.014577259475218658,0.0,0.0,0.023323615160349854,0.0058309037900874635,0.0,0.0,0.0,0.08454810495626822,0.0,0.0,0.0,0.0641399416909621,0.09329446064139942,0.08163265306122448,0.0058309037900874635,0.05830903790087463,0.011661807580174927,0.0,0.01749271137026239,0.1661807580174927,0.0,0.052478134110787174,0.0,0.026239067055393587,57.80346820809248,0.0,0.0,28.90173410404624,115.60693641618496,28.90173410404624,0.0,28.90173410404624,0.05128205128205128,0.0,0.0,0.5780346820809248,0.43103448275862066,0,0.05555555555555555,0.9444444444444444,0.0625,0.03513951603033144,0.7931034482758621,0.13793103448275862,16.76300578034682,0.1111111111111111,6.407407407407407,0.0,0.9310344827586207,0.0,0.5294117647058824,5.780346820809248,0.0,0.0,0.0,0.2222222222222222,0.4682080924855492,0.2800632911392405,672,346,7.012449448831473,0.5346820809248555,0.5346820809248555,0.5474683544303798,0.004746835443037975,0.03322784810126582,0.6473214285714286,0.015822784810126583,0.0,0.0,0.0,0.0,0.0,0.0,49.42857142857143,19.22222222222222,2.857142857142857,632,7,0.733033674171711,0.0,0.0,0.03481012658227848,0.10284810126582279,3.03327243697953,0.0,0.012658227848101266,0.0029154518950437317,0.0,18,0.2720972767543366,0.5531643923824391,0.0,0.0,0.0,0.03549807596746065,0.0428921568627451,1.8888888888888888,0.5769230769230769,0.023323615160349854,0.005539993775287893,1.2334611546316379,33,4.073846153846154,2,4.136879123915371,0.0034965034965034965,0.2867132867132867,0.5353846153846153,0.479020979020979,0.7902139037433156,286,7.074500079088984,0.6433566433566433,16,7,1.2097902097902098,2.73109243697479,0.5982513875539403,19.055555555555557,2.1370262390670556,18.5,0.14868804664723032,0.023323615160349854,5.345153737481066,6.818525118238902,0.0,18,0.4275786283393075,0.09912536443148688,343,0.6093264255770838,5.311510795240908,0.03498542274052478,0.029154518950437316,0.03498542274052478,0.05539358600583091,0.0,0.02040816326530612,0.0,0.23323615160349853,0.0058309037900874635,0.061224489795918366,0.01749271137026239,0.01749271137026239,0.1661807580174927,0.05539358600583091,0.0,0.16034985422740525,0.10787172011661808
4,b77b09a419c1631227112f0c,2026-03,post,有点卡，但还能读,1,0.02564102564102564,0.04700854700854701,0.02564102564102564,0.05982905982905983,0.0,0.017094017094017096,0.10256410256410256,0.004273504273504274,0.008547008547008548,0.01282051282051282,0.021367521367521368,0.038461538461538464,0.008547008547008548,0.0,0.0,0.008547008547008548,0.0,0.0,0.0,0.0,0.008547008547008548,0.0,0.0,0.0,0.05128205128205128,0.2094017094017094,0.05128205128205128,0.017094017094017096,0.0641025641025641,0.021367521367521368,0.0,0.008547008547008548,0.1581196581196581,0.0,0.017094017094017096,0.0,0.01282051282051282,63.492063492063494,0.0,31.746031746031747,0.0,31.746031746031747,31.746031746031747,0.0,0.0,0.05128205128205128,0.0,0.0,0.9523809523809524,0.3611111111111111,1,0.0,1.0,0.0,0.1082627577813714,0.8055555555555556,0.05555555555555555,11.428571428571429,0.25,9.264705882352942,0.0,0.9444444444444444,0.0,0.0,9.523809523809526,0.0,0.0,3.1746031746031744,0.25,0.7153439153439154,0.08629441624365482,407,315,7.005769968402628,0.5492063492063493,0.5492063492063493,0.799492385786802,0.005076142131979695,0.04568527918781726,0.6395663956639567,0.005076142131979695,0.015228426395939087,0.0,0.0,0.0,0.0,0.0,78.75,78.75,1.25,394,4,0.5578907836487548,0.0,0.0,0.01015228426395939,0.09390862944162437,2.6007439100159746,0.0,0.025380710659898477,0.03205128205128205,0.0025380710659898475,4,0.17433302216287058,0.5640707960334125,0.0,0.25,0.0,0.11090225563909774,0.137862950058072,5.5,0.6903553299492385,0.042735042735042736,0.0003250296413904581,1.737444758203286,79,5.2043478260869565,2.0,3.852472567671817,0.0,0.2436548223350254,0.6652173913043479,0.4720812182741117,0.7507142857142857,197,6.5349384371688695,0.6345177664974619,12,8,1.598984771573604,2.6744186046511627,0.5336841101684422,58.5,3.047008547008547,55.0,0.3162393162393162,0.0,4.8144456377738045,6.23071936257726,0.0,4,0.5934480457039298,0.09401709401709402,234,0.3709806008378804,4.655049165832941,0.05982905982905983,0.021367521367521368,0.021367521367521368,0.02564102564102564,0.004273504273504274,0.008547008547008548,0.0,0.34615384615384615,0.017094017094017096,0.10256410256410256,0.004273504273504274,0.0,0.1581196581196581,0.038461538461538464,0.0,0.15384615384615385,0.038461538461538464
5,44aa81958a6c585ee8c06847,2026-01,post,很难读，不想继续,2,0.013793103448275862,0.041379310344827586,0.06896551724137931,0.02413793103448276,0.0034482758620689655,0.03793103448275862,0.08275862068965517,0.006896551724137931,0.03793103448275862,0.017241379310344827,0.02413793103448276,0.013793103448275862,0.020689655172413793,0.0,0.0,0.017241379310344827,0.0034482758620689655,0.0,0.0,0.0,0.013793103448275862,0.0,0.0,0.0,0.06551724137931035,0.09655172413793103,0.06551724137931035,0.027586206896551724,0.07586206896551724,0.03103448275862069,0.0,0.013793103448275862,0.15172413793103448,0.0,0.02413793103448276,0.0,0.020689655172413793,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.069767441860463,0.0,0.0,0.0,1.744186046511628,0.2558139534883721,0,0.0,1.0,0.0,0.06443884352298539,1.0,0.11627906976744186,12.5,0.14285714285714285,8.390243902439025,0.0,0.9534883720930233,0.0,0.16666666666666666,20.348837209302328,428.57142857142856,0.0,0.0,0.42857142857142855,0.6511627906976744,0.22574257425742575,536,344,7.165270414659449,0.5348837209302325,0.5348837209302325,0.6811881188118812,0.005940594059405941,0.039603960396039604,0.6549618320610687,0.009900990099009901,0.0,0.0,0.0,0.0,0.0,0.0,43.0,49.142857142857146,1.375,505,8,0.7666486386919503,0.0,0.007920792079207921,0.013861386138613862,0.09108910891089109,2.8772644671653014,0.0,0.011881188118811881,0.002932551319648094,0.0019801980198019802,7,-0.2969524788794645,0.46241950756158545,0.0,0.375,0.0,0.053310068278363626,0.0834236326109391,4.714285714285714,0.5528455284552846,0.020689655172413793,0.00046426177539000025,1.665140010173441,53,4.738515901060071,2,4.215505686477079,0.0,0.32113821138211385,0.6042402826855123,0.45528455284552843,0.7554421768707483,246,6.8740222290474415,0.6138211382113821,11,6,1.3983739837398375,2.8585858585858586,0.3798435810931244,41.42857142857143,2.717241379310345,39,0.15862068965517243,0.0,5.848983125762229,7.306088322639177,0.0,7,0.47561212826390803,0.11379310344827587,290,0.4581233027463235,5.8355685096302174,0.03793103448275862,0.07241379310344828,0.06896551724137931,0.05862068965517241,0.006896551724137931,0.013793103448275862,0.0,0.21379310344827587,0.034482758620689655,0.04482758620689655,0.020689655172413793,0.0,0.15172413793103448,0.05517241379310345,0.0,0.1482758620689655,0.07241379310344828
6,bf1abf6ca461ec0bbac14bd7,2022-01,pre,顺畅，愿意继续读,0,0.016908212560386472,0.026570048309178744,0.01932367149758454,0.014492753623188406,0.004830917874396135,0.033816425120772944,0.12077294685990338,0.016908212560386472,0.024154589371980676,0.007246376811594203,0.03140096618357488,0.028985507246376812,0.0024154589371980675,0.0,0.0,0.00966183574879227,0.0,0.0,0.0,0.0,0.0024154589371980675,0.0,0.0024154589371980675,0.0,0.06038647342995169,0.20048309178743962,0.06038647342995169,0.024154589371980676,0.05555555555555555,0.04830917874396135,0.0,0.00966183574879227,0.12560386473429952,0.0,0.03140096618357488,0.0,0.021739130434782608,52.910052910052904,0.0,35.273368606701936,0.0,0.0,0.0,17.636684303350968,0.0,0.07692307692307693,0.0,0.0,0.5291005291005291,0.36666666666666664,1,0.0,1.0,0.09090909090909091,0.08629842681659884,1.1166666666666667,0.06666666666666667,10.582010582010582,0.07692307692307693,10.125,0.0,0.9333333333333333,1.0,0.25,5.291005291005291,0.0,0.0,0.0,0.07692307692307693,0.5063198118753675,0.07291666666666667,698,567,7.39606135624706,0.46238235294117647,0.43033509700176364,0.84375,0.0,0.044642857142857144,0.605098855359001,0.0,0.002976190476190476,0.0,0.0,0.0,0.0,0.0,113.4,43.61538461538461,2.6,672,5,0.23013000962796545,0.0,0.0,0.020833333333333332,0.08035714285714286,1.8898568696922258,0.0,0.002976190476190476,0.03546099290780142,0.0,13,0.12381544030120709,0.4741218376879375,0.0,0.0,0.0,0.08078350961343288,0.10363384895118642,2.8461538461538463,0.6353591160220995,0.04589371980676329,0.0005765759051734536,1.598402634482573,63,4.2817955112219455,2,3.965128354287184,0.0027624309392265192,0.3011049723756906,0.6533665835411472,0.4198895027624309,0.7506083650190114,362,7.245318389536075,0.5966850828729282,8,6,1.5662983425414365,2.5220125786163523,0.5766974798034767,31.846153846153847,2.6183574879227054,27,0.2632850241545894,0.004830917874396135,5.303046449492799,6.949826502469458,0.0,13,0.5639876791793391,0.0893719806763285,414,0.3720169997417114,5.321769407052655,0.028985507246376812,0.0748792270531401,0.01932367149758454,0.036231884057971016,0.016908212560386472,0.00966183574879227,0.0,0.3526570048309179,0.024154589371980676,0.0821256038647343,0.007246376811594203,0.012077294685990338,0.12560386473429952,0.036231884057971016,0.0,0.14251207729468598,0.03140096618357488
7,0431c592d5de8246cebcb8e2,2025-10,post,很难读，不想继续,2,0.03260869565217391,0.018115942028985508,0.050724637681159424,0.043478260869565216,0.0,0.007246376811594203,0.07608695652173914,0.018115942028985508,0.010869565217391304,0.021739130434782608,0.014492753623188406,0.03985507246376811,0.010869565217391304,0.007246376811594203,0.0,0.021739130434782608,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08695652173913043,0.11956521739130435,0.05434782608695652,0.03260869565217391,0.06159420289855073,0.025362318840579712,0.0,0.014492753623188406,0.16666666666666666,0.0,0.03260869565217391,0.0,0.03260869565217391,0.0,0.0,0.0,0.0,28.011204481792717,0.0,0.0,0.0,0.0,0.0,0.0,0.8403361344537815,0.40425531914893614,0,0.0,1.0,0.2857142857142857,0.027426952450557693,0.8297872340425532,0.0851063829787234,13.165266106442578,0.1111111111111111,8.113636363636363,0.0,0.9361702127659575,0.0,0.5,8.403361344537815,100.0,2.8011204481792715,0.0,0.2,0.4730781201369436,0.014354066985645933,440,357,7.400725459491045,0.6162464985994398,0.6162464985994398,0.854066985645933,0.0,0.050239234449760764,0.6685303514376997,0.009569377990430622,0.009569377990430622,0.0,0.0,0.0,0.0,0.0,89.25,35.7,2.5,418,4,0.5663738095189434,0.0,0.0,0.02631578947368421,0.12200956937799043,2.6110157276162624,0.0,0.03349282296650718,0.00847457627118644,0.0,10,-0.10874010396112983,0.39176651240660487,0.0,0.25,0.0,0.027010936509910516,0.03864734299516908,3.111111111111111,0.6869565217391305,0.057971014492753624,0.0004161506087051658,1.3364746550312703,35,4.385767790262173,2,4.112834216781255,0.0,0.26521739130434785,0.5917602996254682,0.5652173913043478,0.8185496183206107,230,6.913343055831555,0.6956521739130435,7,6,1.5521739130434782,2.6435643564356437,0.408994987791028,30.666666666666668,2.7282608695652173,34,0.21014492753623187,0.0,5.3845684476936,6.95333083471148,0.0,9,0.3385306848347269,0.10144927536231885,276,0.33684565284514734,5.218795805374061,0.05434782608695652,0.04710144927536232,0.050724637681159424,0.018115942028985508,0.018115942028985508,0.021739130434782608,0.0,0.2898550724637681,0.036231884057971016,0.043478260869565216,0.010869565217391304,0.007246376811594203,0.16666666666666666,0.06159420289855073,0.0,0.17028985507246377,0.0036231884057971015
8,213dcab213f816c7c548fc09,2026-04,post,有点卡，但还能读,1,0.032418952618453865,0.032418952618453865,0.032418952618453865,0.0399002493765586,0.0024937655860349127,0.03740648379052369,0.07481296758104738,0.007481296758104738,0.017456359102244388,0.007481296758104738,0.022443890274314215,0.017456359102244388,0.007481296758104738,0.004987531172069825,0.0,0.03740648379052369,0.0,0.0,0.0,0.0,0.004987531172069825,0.0,0.0024937655860349127,0.0,0.10224438902743142,0.10723192019950124,0.06483790523690773,0.02493765586034913,0.08229426433915212,0.0199501246882793,0.0,0.017456359102244388,0.12967581047381546,0.0,0.034912718204488775,0.0,0.034912718204488775,17.857142857142858,0.0,17.857142857142858,0.0,35.714285714285715,0.0,0.0,17.857142857142858,0.02564102564102564,0.0,0.0,0.7142857142857143,0.38666666666666666,0,0.07142857142857142,0.9285714285714286,0.25,0.015726433258167506,0.9066666666666666,0.05333333333333334,13.392857142857142,0.14285714285714285,8.0,0.0,0.9333333333333333,0.0,0.5384615384615384,7.142857142857142,153.84615384615387,3.571428571428571,0.0,0.23076923076923078,0.6635416666666666,0.04225352112676056,650,560,7.722347515330423,0.5347540983606558,0.5053571428571428,0.8763693270735524,0.003129890453834116,0.03599374021909233,0.6328708644610459,0.006259780907668232,0.0,0.0,0.0,0.0,0.0,0.0,93.33333333333333,43.07692307692308,2.1666666666666665,639,6,0.3035294088565659,0.0,0.0,0.02034428794992175,0.081377151799687,2.483148069376767,0.0,0.012519561815336464,0.00718132854578097,0.003129890453834116,13,-0.3339617607838331,0.49105519453685914,0.0,0.0,0.0,0.02237178370944859,0.015465693726563291,3.5,0.6189111747851003,0.02493765586034913,8.296001327360213e-05,1.5846881549549263,51,3.9354005167958657,2,4.207576718254055,0.0028653295128939827,0.33810888252148996,0.6175710594315246,0.4584527220630373,0.81968,349,7.389586763488118,0.6389684813753582,8,6,1.6045845272206303,2.597315436241611,0.48387818977519975,28.642857142857142,2.42643391521197,24.5,0.20199501246882792,0.0,5.541562057158074,7.189808635780164,0.0057306590257879654,14,0.5396741505344175,0.12219451371571072,401,0.32928881312455727,5.298514855526233,0.04488778054862843,0.06733167082294264,0.032418952618453865,0.04488778054862843,0.007481296758104738,0.032418952618453865,0.0,0.2718204488778055,0.02493765586034913,0.059850374064837904,0.012468827930174564,0.0024937655860349127,0.12967581047381546,0.06982543640897755,0.0,0.18703241895261846,0.012468827930174564
9,48bda219eb0776f623161899,2026-01,post,有点卡，但还能读,1,0.024154589371980676,0.05314009661835749,0.028985507246376812,0.024154589371980676,0.0,0.028985507246376812,0.10628019323671498,0.024154589371980676,0.014492753623188406,0.004830917874396135,0.01932367149758454,0.03864734299516908,0.014492753623188406,0.004830917874396135,0.0,0.00966183574879227,0.0,0.0,0.0,0.0,0.00966183574879227,0.0,0.0,0.0,0.05314009661835749,0.13526570048309178,0.07246376811594203,0.004830917874396135,0.057971014492753624,0.024154589371980676,0.0,0.00966183574879227,0.17391304347826086,0.0,0.043478260869565216,0.0,0.01932367149758454,0.0,0.0,0.0,0.0,36.496350364963504,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.34285714285714286,0,0.1111111111111111,0.8888888888888888,0.2857142857142857,0.06222284480752223,0.8571428571428571,0.02857142857142857,12.773722627737227,0.2222222222222222,7.828571428571428,0.0,1.0,0.0,0.375,0.0,0.0,0.0,0.0,0.0,0.40551500405515006,0.11396011396011396,364,274,7.090990420810021,0.6131386861313869,0.6131386861313869,0.7806267806267806,0.002849002849002849,0.042735042735042736,0.689795918367347,0.008547008547008548,0.0,0.0,0.0,0.0,0.0,0.0,54.8,27.4,2.0,351,5,0.48970432460494917,0.0,0.0,0.02849002849002849,0.10541310541310542,2.6546067436564957,0.2,0.022792022792022793,0.007380073800738007,0.0,10,-0.08718776739908428,0.3632074541496272,0.0,0.0,0.0,0.05272273425499232,0.08011363636363636,2.6666666666666665,0.6491228070175439,0.06280193236714976,0.002452385972310071,1.1151284464086166,23,3.4797979797979797,2.0,4.031369324861316,0.0,0.30994152046783624,0.6262626262626263,0.5614035087719298,0.7691666666666667,171,6.631037676032188,0.7134502923976608,9,6,1.5964912280701755,2.475,0.5399878393776182,23.0,2.3285024154589373,23,0.2028985507246377,0.004830917874396135,5.128533589536591,6.481778100859983,0.0,9,0.23278809281462334,0.11594202898550725,207,0.35574536387337685,4.777024536800756,0.033816425120772944,0.06280193236714976,0.028985507246376812,0.043478260869565216,0.024154589371980676,0.00966183574879227,0.0,0.30434782608695654,0.004830917874396135,0.06280193236714976,0.004830917874396135,0.0,0.17391304347826086,0.04830917874396135,0.0,0.16908212560386474,0.028985507246376812
10,3c60dc0a981b686870095450,2026-06,post,很难读，不想继续,2,0.0223463687150838,0.0446927374301676,0.055865921787709494,0.0111731843575419,0.00558659217877095,0.05027932960893855,0.055865921787709494,0.0223463687150838,0.027932960893854747,0.0223463687150838,0.01675977653631285,0.061452513966480445,0.0111731843575419,0.00558659217877095,0.0,0.0223463687150838,0.00558659217877095,0.0,0.0,0.0,0.00558659217877095,0.0,0.0,0.0,0.0782122905027933,0.05027932960893855,0.0670391061452514,0.0223463687150838,0.03910614525139665,0.027932960893854747,0.0,0.01675977653631285,0.19553072625698323,0.0,0.027932960893854747,0.0,0.027932960893854747,0.0,0.0,0.0,0.0,89.68609865470852,0.0,0.0,0.0,0.0,0.0,0.0,2.242152466367713,0.46875,1,0.4,0.6,0.3333333333333333,0.0056770833333333335,0.6875,0.125,14.349775784753364,0.6,7.689655172413793,0.0,0.90625,1.0,0.75,22.42152466367713,333.3333333333333,13.45291479820628,4.484304932735426,0.5,0.6457399103139014,0.12244897959183673,302,223,6.897209122015947,0.6457399103139013,0.6457399103139013,0.7585034013605442,0.006802721088435374,0.06802721088435375,0.7271604938271605,0.006802721088435374,0.0,0.0,0.0,0.0,0.0,0.0,74.33333333333333,37.166666666666664,2.0,294,3,0.1716967687809565,0.0,0.0,0.017006802721088437,0.11904761904761904,2.5398775745709465,0.0,0.006802721088435374,0.00909090909090909,0.0,6,-0.2990099673675931,0.5512777674628204,0.0,0.0,0.0,0.0078125,0.0,4.6,0.5763888888888888,0.08379888268156424,0.0014421868454126518,1.5109721479384377,51,4.913793103448276,2.0,4.238015746003191,0.0,0.3333333333333333,0.6091954022988506,0.6458333333333334,0.8244444444444444,144,6.683993276087888,0.7916666666666666,9,5,1.5486111111111112,2.8524590163934427,0.37874664488271675,35.8,2.670391061452514,33,0.1005586592178771,0.00558659217877095,5.734209692039658,6.726464003858317,0.0,5,0.3798882681564246,0.12849162011173185,179,0.40146427076265273,5.496647160557885,0.0446927374301676,0.0670391061452514,0.05027932960893855,0.0670391061452514,0.0223463687150838,0.0223463687150838,0.0,0.17318435754189945,0.027932960893854747,0.01675977653631285,0.01675977653631285,0.01675977653631285,0.19553072625698323,0.055865921787709494,0.0,0.1787709497206704,0.0446927374301676
