feature,spearman_rho,exact_p_value,bh_q_value,loo_direction_stability
relation_support_causal_count,-0.6,0.19642857142857142,1.0,1.0
relation_support_instances_per_100_sentences,0.45621275880976087,0.30357142857142855,1.0,1.0
relation_support_mean_payload_gain,0.3944053188733077,0.39285714285714285,1.0,1.0
relation_support_mean_anchor_score,-0.3400921207590814,0.44642857142857145,1.0,1.0
relation_support_clarification_count,-0.29277002188455997,1.0,1.0,0.875
relation_support_contrast_count,0.17429786813223802,0.7321428571428571,1.0,0.625
relation_support_determinate_ratio,0.17107978455366032,0.7142857142857143,1.0,0.875
relation_support_emphasis_count,0.1192569587999888,1.0,1.0,0.625
relation_support_problem_count,-0.06666666666666667,1.0,1.0,0.5
relation_support_contrast_problem_ratio,-0.06454972243679027,1.0,1.0,0.5
relation_support_problem_per_100_sentences,0.06454972243679027,1.0,1.0,0.5
relation_support_indeterminate_ratio,0.05702659485122011,0.9642857142857143,1.0,0.625
relation_support_supported_ratio,0.05702659485122011,0.9642857142857143,1.0,0.625
relation_support_instance_count,0.0,1.0,1.0,0.0
relation_support_problem_ratio,0.0,1.0,1.0,0.0
relation_support_problem_ratio_determinate,0.0,1.0,1.0,0.0
relation_support_type_mismatch_ratio,0.0,1.0,1.0,0.0
