feature,mean_delta_revised_minus_original,median_delta_revised_minus_original,decrease_count,unchanged_count,increase_count,revised_win_mean_delta,tie_mean_delta
relation_support_instances_per_100_sentences,-21.95894383394383,-22.939560439560438,9,1,0,-29.877645502645503,-10.08089133089133
relation_support_mean_payload_gain,-4.741666666666666,-3.833333333333333,6,2,2,-6.333333333333333,-2.354166666666667
relation_support_problem_per_100_sentences,-2.5740231990231988,0.0,4,6,0,-3.191137566137566,-1.648351648351648
relation_support_instance_count,-2.3,-2.0,8,2,0,-3.0,-1.25
relation_support_contrast_count,-1.2,-1.0,6,4,0,-1.5,-0.75
relation_support_emphasis_count,-1.2,-1.0,8,2,0,-1.3333333333333333,-1.0
relation_support_supported_ratio,-0.4333333333333333,-0.41666666666666663,8,2,0,-0.4305555555555555,-0.4375
relation_support_determinate_ratio,-0.41944444444444445,-0.41666666666666663,7,2,1,-0.49074074074074076,-0.3125
relation_support_problem_count,-0.3,0.0,3,7,0,-0.3333333333333333,-0.25
relation_support_clarification_count,-0.1,0.0,1,9,0,-0.16666666666666666,0.0
relation_support_inference_count,-0.1,0.0,1,9,0,-0.16666666666666666,0.0
relation_support_contrast_problem_ratio,-0.049999999999999996,0.0,2,7,1,-0.13888888888888887,0.08333333333333334
relation_support_mean_anchor_score,-0.021432532314272508,-0.013095238095238094,6,2,2,-0.024321927353994344,-0.017098439754689748
relation_support_problem_ratio_determinate,-0.005952380952380948,0.0,2,7,1,-0.06547619047619048,0.08333333333333334
relation_support_causal_problem_ratio,0.0,0.0,0,10,0,0.0,0.0
relation_support_clarification_problem_ratio,0.0,0.0,0,10,0,0.0,0.0
relation_support_emphasis_problem_ratio,0.0,0.0,0,10,0,0.0,0.0
relation_support_inference_problem_ratio,0.0,0.0,0,10,0,0.0,0.0
relation_support_redundant_ratio,0.0,0.0,0,10,0,0.0,0.0
relation_support_unsupported_ratio,0.0,0.0,0,10,0,0.0,0.0
relation_support_problem_ratio,0.01388888888888889,0.0,2,7,1,-0.06018518518518518,0.125
relation_support_type_mismatch_ratio,0.01388888888888889,0.0,2,7,1,-0.06018518518518518,0.125
relation_support_indeterminate_ratio,0.11944444444444446,0.0,2,4,4,0.1574074074074074,0.0625
relation_support_causal_count,0.3,0.0,0,8,2,0.16666666666666666,0.5
