feature,family,pre_huber_location,post_huber_location,robust_effect_post_minus_pre,unweighted_hedges_g,direction_matches_unweighted,translation_removed_robust_effect,translation_removed_direction_consistent,pre_effective_n,post_effective_n,minimum_effective_fraction,loo_direction_stability,permutation_p_value,q_value,ranking_score
surface_punctuation_entropy_bits,punctuation,2.3392992542411615,3.2003225427846904,2.751148771279442,1.6962819825083293,True,3.1400012484432085,True,9.689597353381538,9.593471443505983,0.9593471443505983,1.0,0.0007998400319936012,0.1287742451509698,2.63930671741059
syntax_adjacent_noun_jaccard_mean,dependency_syntax,0.08888152667467547,0.05010393470713332,-2.8827722584821696,-0.7479280358739865,True,-2.889748601749358,True,9.787005566765504,8.181514717575343,0.8181514717575343,1.0,0.024795040991801638,0.3268884684601541,2.358544366018978
surface_punctuation_density,punctuation,0.07866447076820357,0.10202728396256111,2.3595385064408405,2.0835766792372516,True,2.1757207162859524,True,9.35466267397112,10.0,0.935466267397112,1.0,0.0015996800639872025,0.1287742451509698,2.2072686793999696
graph_mean_adjacent_bridge_weight,discourse_graph,0.07112399295938597,0.04675741443119626,-1.876409749964564,-0.8383692023984302,True,-1.4814781941288193,True,9.93781648466405,9.232145400698235,0.9232145400698235,1.0,0.026394721055788842,0.3268884684601541,1.7323287642960674
syntax_adjacent_content_jaccard_mean,dependency_syntax,0.06818180063395399,0.045450678141885484,-1.8191866278448594,-0.9828528575714105,True,-1.1920659596561893,True,10.0,9.205930079715104,0.9205930079715104,1.0,0.01759648070385923,0.3268884684601541,1.6747304897892479
surface_colon_density,punctuation,0.0018766360142618164,0.0056917801292939475,1.613840254404132,1.12759128434917,True,1.4876391620280731,True,9.67627734158117,9.91067844474071,0.967627734158117,1.0,0.012997400519896021,0.3268884684601541,1.5615965886622292
title_cjk_char_count,title_form,15.125000000047454,21.833333333293616,1.6804346781620607,1.2746218475489077,True,1.5655952982778456,True,9.968998606636639,8.74966474749757,0.8749664747497571,1.0,0.0057988402319536095,0.31120442578151036,1.4703240063987009
hypothesis_emphatic_frames_per_1k_cjk,rhetorical_hypothesis,0.24005851904331205,0.7883407195131382,1.621463417054177,0.7747713125059748,True,1.522209343485266,True,9.041905848622658,8.837747796519471,0.8837747796519471,1.0,0.018196360727854428,0.3268884684601541,1.4330084741207485
surface_dash_density,punctuation,0.0013107201655276563,0.00893889366249158,1.4243808023299853,1.5764157711442348,True,1.4064287037024965,True,10.0,9.999697488794395,0.9999697488794395,1.0,0.013397320535892822,0.3268884684601541,1.42433771321461
hypothesis_complete_contrast_frames_per_1k_sentences,rhetorical_hypothesis,0.0,13.412354959005226,1.5124992191432478,0.814836901171905,True,0.7943019854796457,True,10.0,9.283186019890401,0.9283186019890401,1.0,0.033193361327734455,0.33400819836032797,1.4040811606245747
syntax_lexical_mattr,token_and_lexical,0.7348196550353342,0.772648635903178,1.4045467958306468,1.1266712063708637,True,1.3107634805484478,True,10.0,9.805157079958791,0.9805157079958791,1.0,0.013197360527894421,0.3268884684601541,1.37718019592723
surface_cjk_char_mattr,character_composition,0.44656824108716037,0.47575089048192265,1.3700004522824052,0.73692769232865,True,1.7463488373364926,True,9.811016506304663,9.1583586410414,0.91583586410414,1.0,0.023595280943811237,0.3268884684601541,1.254695548039119
surface_question_sentence_ratio,document_structure,0.009129552271007995,0.08514884469837732,1.6766716325580824,0.40415065889673485,True,1.7628886159024717,True,7.476124800200939,9.973359725761863,0.7476124800200938,1.0,0.021595680863827234,0.3268884684601541,1.2535006373960875
syntax_max_tree_depth,dependency_syntax,7.6529874999904655,9.180974999990152,1.3036343548537814,0.7545496423488283,True,1.325691867704729,True,9.428494222017996,9.28848584765401,0.9288485847654011,1.0,0.03119376124775045,0.33400819836032797,1.2108789255574917
deprel_compound_ratio,dependency_relation,0.030219163513090876,0.02329032001512518,-1.2780981244104643,-0.6887300963675332,True,-1.044103450073591,True,9.438969397130204,9.866544360504587,0.9438969397130205,1.0,0.02519496100779844,0.3268884684601541,1.2063929082839886
surface_quote_mark_density,punctuation,0.0035405309351813365,0.010549567612735204,1.2621924411484897,0.8810138204844468,True,1.0218901576603605,True,9.449575456906919,9.96136210992511,0.9449575456906919,1.0,0.05878824235152969,0.4507098580283943,1.19271827137702
surface_mean_paragraph_cjk_chars,document_structure,61.03461834078853,36.862718917442265,-1.2128060867863013,-0.8096162040827874,True,-1.177937632871805,True,9.939426074520656,9.491342631081833,0.9491342631081834,1.0,0.047390521895620874,0.4100443069280881,1.1511158114750355
syntax_max_nonleaf_branching,dependency_syntax,9.567994444444302,11.0,1.221745360197165,0.5286211672114612,True,1.221745360197165,True,9.548284818225973,9.06709111693345,0.9067091116933449,1.0,0.041991601679664065,0.3976851688485832,1.1077676502598373
deprel_punct_ratio,dependency_relation,0.13182009356228086,0.15634463362837642,1.0616949045601949,1.2171744193782668,True,1.0028165774058477,True,9.874989727818743,10.0,0.9874989727818744,1.0,0.04839032193561288,0.4100443069280881,1.0484226276609425
upos_punct_ratio,universal_pos,0.13182009356228086,0.15599157890048249,1.0407882448676125,1.1902320171378065,True,1.0065621774465914,True,9.874989727818743,10.0,0.9874989727818744,1.0,0.05378924215156969,0.433003399320136,1.0277773226902172
upos_part_ratio,universal_pos,0.06791943263359833,0.05598083060738215,-1.040214617719926,-0.883040847180593,True,-0.9870613640861855,True,9.977513151697101,9.874216907595466,0.9874216907595466,1.0,0.029994001199760048,0.33400819836032797,1.0271304765818048
hypothesis_meta_frames_per_1k_cjk,rhetorical_hypothesis,0.026365835699965735,0.34723801689050887,1.0956050992564739,0.5713246383887112,True,1.2214141925333446,True,9.349808518456655,9.999971807614708,0.9349808518456655,1.0,0.08478304339132174,0.5497669696829866,1.024369788989273
graph_proposition_restatement_ratio,discourse_graph,0.12452645679168516,0.08751167111945186,-0.9841615879527587,-0.935783520290682,True,-0.8817753069654737,True,9.88490289231221,9.89683128195768,0.9884902892312211,1.0,0.06718656268746251,0.4916834814855211,0.9728341727256802
surface_cjk_char_entropy_bits,character_composition,7.967970701382954,8.225870861632517,0.9664765258955863,0.8173166737557019,True,0.809204566908283,True,9.999590725143776,9.886768791647583,0.9886768791647583,1.0,0.07598480303939212,0.5318936212757448,0.955532995408446
surface_paragraph_count,document_structure,47.82846249978497,100.84152142828142,1.0231906908436172,0.8832096992450026,True,0.7636143600023181,True,9.965536860617883,9.23874204215137,0.9238742042151371,1.0,0.1321735652869426,0.6078144371125774,0.9452994852634833
syntax_clause_relations_per_sentence,dependency_syntax,3.4356829984457367,2.769555876262156,-0.8575665484371088,-0.8050788487810576,True,-0.8002800784402218,True,9.93530954847869,9.928389150221207,0.9928389150221207,1.0,0.11357728454309138,0.5734478104379124,0.851425441509564
